tanggal,kode_kelurahan,wilayah_kota,kecamatan,kelurahan,penerima_vaksinasi,dosis,jumlah_vaksin
2021-06-21,3171051001,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,LANSIA,Dosis 1,346
2021-06-21,3171011002,JAKARTA PUSAT,GAMBIR,CIDENG,LANSIA,Dosis 1,157
2021-06-21,3171061003,JAKARTA PUSAT,MENTENG,CIKINI,LANSIA,Dosis 1,110
2021-06-21,3171011006,JAKARTA PUSAT,GAMBIR,DURI PULO,LANSIA,Dosis 1,85
2021-06-21,3171081003,JAKARTA PUSAT,JOHAR BARU,GALUR,LANSIA,Dosis 1,102
2021-06-21,3171011001,JAKARTA PUSAT,GAMBIR,GAMBIR,LANSIA,Dosis 1,16
2021-06-21,3171071001,JAKARTA PUSAT,TANAH ABANG,GELORA,LANSIA,Dosis 1,37
2021-06-21,3171061004,JAKARTA PUSAT,MENTENG,GONDANGDIA,LANSIA,Dosis 1,113
2021-06-21,3171031005,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,LANSIA,Dosis 1,121
2021-06-21,3171021004,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,LANSIA,Dosis 1,93
2021-06-21,3171031003,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,LANSIA,Dosis 1,179
2021-06-21,3171081001,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,LANSIA,Dosis 1,354
2021-06-21,3171071007,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,LANSIA,Dosis 1,53
2021-06-21,3171081002,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,LANSIA,Dosis 1,143
2021-06-21,3171021002,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,LANSIA,Dosis 1,124
2021-06-21,3171071003,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,LANSIA,Dosis 1,137
2021-06-21,3171021003,JAKARTA PUSAT,SAWAH BESAR,KARTINI,LANSIA,Dosis 1,99
2021-06-21,3171071006,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,LANSIA,Dosis 1,118
2021-06-21,3171011005,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,LANSIA,Dosis 1,56
2021-06-21,3171031002,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,LANSIA,Dosis 1,177
2021-06-21,3171071005,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,LANSIA,Dosis 1,131
2021-06-21,3171061005,JAKARTA PUSAT,MENTENG,KEBON SIRIH,LANSIA,Dosis 1,59
2021-06-21,3171031001,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,LANSIA,Dosis 1,87
2021-06-21,3171041002,JAKARTA PUSAT,SENEN,KENARI,LANSIA,Dosis 1,153
2021-06-21,3171041004,JAKARTA PUSAT,SENEN,KRAMAT,LANSIA,Dosis 1,194
2021-06-21,3171041005,JAKARTA PUSAT,SENEN,KWITANG,LANSIA,Dosis 1,90
2021-06-21,3171021005,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,LANSIA,Dosis 1,138
2021-06-21,3171061001,JAKARTA PUSAT,MENTENG,MENTENG,LANSIA,Dosis 1,252
2021-06-21,3171021001,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,LANSIA,Dosis 1,60
2021-06-21,3171041003,JAKARTA PUSAT,SENEN,PASEBAN,LANSIA,Dosis 1,382
2021-06-21,3171061002,JAKARTA PUSAT,MENTENG,PEGANGSAAN,LANSIA,Dosis 1,205
2021-06-21,3171071004,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,LANSIA,Dosis 1,165
2021-06-21,3171011004,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,LANSIA,Dosis 1,311
2021-06-21,3171011003,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,LANSIA,Dosis 1,82
2021-06-21,3171051003,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,LANSIA,Dosis 1,305
2021-06-21,3171041001,JAKARTA PUSAT,SENEN,SENEN,LANSIA,Dosis 1,122
2021-06-21,3171031004,JAKARTA PUSAT,KEMAYORAN,SERDANG,LANSIA,Dosis 1,257
2021-06-21,3171031007,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,LANSIA,Dosis 1,243
2021-06-21,3171081004,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,LANSIA,Dosis 1,194
2021-06-21,3171031008,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,LANSIA,Dosis 1,165
2021-06-22,3171071002,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,LANSIA,Dosis 1,245
2021-06-22,3171041006,JAKARTA PUSAT,SENEN,BUNGUR,LANSIA,Dosis 1,131
2021-06-22,3171031006,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,LANSIA,Dosis 1,267
2021-06-22,3171051002,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,LANSIA,Dosis 1,331
2021-06-22,3171051001,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,LANSIA,Dosis 1,347
2021-06-22,3171011002,JAKARTA PUSAT,GAMBIR,CIDENG,LANSIA,Dosis 1,157
2021-06-22,3171061003,JAKARTA PUSAT,MENTENG,CIKINI,LANSIA,Dosis 1,110
2021-06-22,3171011006,JAKARTA PUSAT,GAMBIR,DURI PULO,LANSIA,Dosis 1,84
2021-06-22,3171081003,JAKARTA PUSAT,JOHAR BARU,GALUR,LANSIA,Dosis 1,103
2021-06-22,3171011001,JAKARTA PUSAT,GAMBIR,GAMBIR,LANSIA,Dosis 1,16
2021-06-22,3171071001,JAKARTA PUSAT,TANAH ABANG,GELORA,LANSIA,Dosis 1,37
2021-06-22,3171061004,JAKARTA PUSAT,MENTENG,GONDANGDIA,LANSIA,Dosis 1,113
2021-06-22,3171031005,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,LANSIA,Dosis 1,121
2021-06-22,3171021004,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,LANSIA,Dosis 1,93
2021-06-22,3171031003,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,LANSIA,Dosis 1,179
2021-06-22,3171081001,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,LANSIA,Dosis 1,356
2021-06-22,3171071007,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,LANSIA,Dosis 1,53
2021-06-22,3171081002,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,LANSIA,Dosis 1,144
2021-06-22,3171021002,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,LANSIA,Dosis 1,124
2021-06-22,3171071003,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,LANSIA,Dosis 1,136
2021-06-22,3171021003,JAKARTA PUSAT,SAWAH BESAR,KARTINI,LANSIA,Dosis 1,99
2021-06-22,3171071006,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,LANSIA,Dosis 1,118
2021-06-22,3171011005,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,LANSIA,Dosis 1,56
2021-06-22,3171031002,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,LANSIA,Dosis 1,177
2021-06-22,3171071005,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,LANSIA,Dosis 1,131
2021-06-22,3171061005,JAKARTA PUSAT,MENTENG,KEBON SIRIH,LANSIA,Dosis 1,59
2021-06-22,3171031001,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,LANSIA,Dosis 1,88
2021-06-22,3171041002,JAKARTA PUSAT,SENEN,KENARI,LANSIA,Dosis 1,153
2021-06-22,3171041004,JAKARTA PUSAT,SENEN,KRAMAT,LANSIA,Dosis 1,194
2021-06-22,3171041005,JAKARTA PUSAT,SENEN,KWITANG,LANSIA,Dosis 1,90
2021-06-22,3171021005,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,LANSIA,Dosis 1,138
2021-06-22,3171061001,JAKARTA PUSAT,MENTENG,MENTENG,LANSIA,Dosis 1,253
2021-06-22,3171021001,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,LANSIA,Dosis 1,61
2021-06-22,3171041003,JAKARTA PUSAT,SENEN,PASEBAN,LANSIA,Dosis 1,383
2021-06-22,3171061002,JAKARTA PUSAT,MENTENG,PEGANGSAAN,LANSIA,Dosis 1,205
2021-06-22,3171071004,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,LANSIA,Dosis 1,165
2021-06-22,3171011004,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,LANSIA,Dosis 1,311
2021-06-22,3171011003,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,LANSIA,Dosis 1,82
2021-06-22,3171051003,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,LANSIA,Dosis 1,305
2021-06-22,3171041001,JAKARTA PUSAT,SENEN,SENEN,LANSIA,Dosis 1,122
2021-06-22,3171031004,JAKARTA PUSAT,KEMAYORAN,SERDANG,LANSIA,Dosis 1,257
2021-06-22,3171031007,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,LANSIA,Dosis 1,244
2021-06-22,3171081004,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,LANSIA,Dosis 1,194
2021-06-22,3171031008,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,LANSIA,Dosis 1,165
2021-06-23,3171071002,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,LANSIA,Dosis 1,246
2021-06-23,3171041006,JAKARTA PUSAT,SENEN,BUNGUR,LANSIA,Dosis 1,131
2021-06-23,3171031006,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,LANSIA,Dosis 1,267
2021-06-23,3171051002,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,LANSIA,Dosis 1,331
2021-06-23,3171051001,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,LANSIA,Dosis 1,348
2021-06-23,3171011002,JAKARTA PUSAT,GAMBIR,CIDENG,LANSIA,Dosis 1,158
2021-06-23,3171061003,JAKARTA PUSAT,MENTENG,CIKINI,LANSIA,Dosis 1,111
2021-06-23,3171011006,JAKARTA PUSAT,GAMBIR,DURI PULO,LANSIA,Dosis 1,84
2021-06-23,3171081003,JAKARTA PUSAT,JOHAR BARU,GALUR,LANSIA,Dosis 1,103
